# prefix,country_code,region_code,city,postal
109.238.11.173,FR,FR-HDF,Eppes,02840
109.238.12.109,FR,FR-HDF,Eppes,02840
178.170.40.25,FR,FR-HDF,Eppes,02840
178.170.40.224,FR,FR-HDF,Eppes,02840
